film_id,country_id
flm0000802,ctr000001
flm0000803,ctr000001
flm0000804,ctr000001
flm0000805,ctr000001
flm0000807,ctr000001
flm0000809,ctr000001
flm0000810,ctr000001
flm0000811,ctr000001
flm0000812,ctr000001
flm0000813,ctr000001
flm0000814,ctr000001
flm0000817,ctr000001
flm0000818,ctr000001
flm0000819,ctr000001
flm0000821,ctr000001
flm0000822,ctr000001
flm0000823,ctr000001
flm0000824,ctr000001
flm0000825,ctr000001
flm0000826,ctr000001
flm0000827,ctr000001
flm0000828,ctr000001
flm0000831,ctr000001
flm0000832,ctr000001
flm0000838,ctr000001
flm0000839,ctr000001
flm0000840,ctr000001
flm0000845,ctr000001
flm0000847,ctr000001
flm0000848,ctr000001
flm0000849,ctr000001
flm0000850,ctr000001
flm0000851,ctr000001
flm0000852,ctr000001
flm0000855,ctr000001
flm0000856,ctr000001
flm0000857,ctr000001
flm0000858,ctr000001
flm0000859,ctr000001
flm0000860,ctr000001
flm0000861,ctr000001
flm0000864,ctr000001
flm0000865,ctr000001
flm0000866,ctr000001
flm0000868,ctr000001
flm0000870,ctr000001
flm0000871,ctr000001
flm0000873,ctr000001
flm0000874,ctr000001
flm0000876,ctr000001
flm0000877,ctr000001
flm0000878,ctr000001
flm0000879,ctr000001
flm0000880,ctr000001
flm0000882,ctr000001
flm0000883,ctr000001
flm0000884,ctr000001
flm0000886,ctr000001
flm0000887,ctr000001
flm0000888,ctr000001
flm0000889,ctr000001
flm0000890,ctr000001
flm0000892,ctr000001
flm0000894,ctr000001
flm0000895,ctr000001
flm0000896,ctr000001
flm0000897,ctr000001
flm0000898,ctr000001
flm0000899,ctr000001
flm0000900,ctr000001
flm0000901,ctr000001
flm0000903,ctr000001
flm0000904,ctr000001
flm0000906,ctr000001
flm0000907,ctr000001
flm0000908,ctr000001
flm0000909,ctr000001
flm0000910,ctr000001
flm0000911,ctr000001
flm0000913,ctr000001
flm0000914,ctr000001
flm0000915,ctr000001
flm0000916,ctr000001
flm0000917,ctr000001
flm0000918,ctr000001
flm0000919,ctr000001
flm0000920,ctr000001
flm0000922,ctr000001
flm0000923,ctr000001
flm0000924,ctr000001
flm0000925,ctr000001
flm0000926,ctr000001
flm0000927,ctr000001
flm0000928,ctr000001
flm0000929,ctr000001
flm0000930,ctr000001
flm0000931,ctr000001
flm0000932,ctr000001
flm0000933,ctr000001
flm0000934,ctr000001
flm0000935,ctr000001
flm0000936,ctr000001
flm0000937,ctr000001
flm0000938,ctr000001
flm0000939,ctr000001
flm0000940,ctr000001
flm0000941,ctr000001
flm0000942,ctr000001
flm0000943,ctr000001
flm0000944,ctr000001
flm0000945,ctr000001
flm0000946,ctr000001
flm0000947,ctr000001
flm0000948,ctr000001
flm0000949,ctr000001
flm0000950,ctr000001
flm0000952,ctr000001
flm0000953,ctr000001
flm0000954,ctr000001
flm0000955,ctr000001
flm0000956,ctr000001
flm0000957,ctr000001
flm0000958,ctr000001
flm0000959,ctr000001
flm0000960,ctr000001
flm0000961,ctr000001
flm0000962,ctr000001
flm0000963,ctr000001
flm0000964,ctr000001
flm0000965,ctr000001
flm0000966,ctr000001
flm0000968,ctr000001
flm0000970,ctr000001
flm0000971,ctr000001
flm0000972,ctr000001
flm0000973,ctr000001
flm0000974,ctr000001
flm0000975,ctr000001
flm0000977,ctr000001
flm0000978,ctr000001
flm0000979,ctr000001
flm0000980,ctr000001
flm0000982,ctr000001
flm0000984,ctr000001
flm0000985,ctr000001
flm0000986,ctr000001
flm0000989,ctr000001
flm0000990,ctr000001
flm0000991,ctr000001
flm0000993,ctr000001
flm0000994,ctr000001
flm0000995,ctr000001
flm0000996,ctr000001
flm0000997,ctr000001
flm0000999,ctr000001
flm0001000,ctr000001
flm0001001,ctr000001
flm0001003,ctr000001
flm0001004,ctr000001
flm0001005,ctr000001
flm0001007,ctr000001
flm0001008,ctr000001
flm0001009,ctr000001
flm0001012,ctr000001
flm0001013,ctr000001
flm0001014,ctr000001
flm0001015,ctr000001
flm0001016,ctr000001
flm0001017,ctr000001
flm0001019,ctr000001
flm0001021,ctr000001
flm0001022,ctr000001
flm0001023,ctr000001
flm0001024,ctr000001
flm0001026,ctr000001
flm0001027,ctr000001
flm0001028,ctr000001
flm0001030,ctr000001
flm0001032,ctr000001
flm0001033,ctr000001
flm0001034,ctr000001
flm0001039,ctr000001
flm0001041,ctr000001
flm0001042,ctr000001
flm0001043,ctr000001
flm0001044,ctr000001
flm0001045,ctr000001
flm0001046,ctr000001
flm0001048,ctr000001
flm0001477,ctr000001
flm0001049,ctr000001
flm0001051,ctr000001
flm0001052,ctr000001
flm0001053,ctr000001
flm0001054,ctr000001
flm0001055,ctr000001
flm0001056,ctr000001
flm0001057,ctr000001
flm0001060,ctr000001
flm0001061,ctr000001
flm0001062,ctr000001
flm0001063,ctr000001
flm0001064,ctr000001
flm0001065,ctr000001
flm0001066,ctr000001
flm0001067,ctr000001
flm0001068,ctr000001
flm0001070,ctr000001
flm0001072,ctr000001
flm0001073,ctr000001
flm0001074,ctr000001
flm0001076,ctr000001
flm0001077,ctr000001
flm0001080,ctr000001
flm0001081,ctr000001
flm0001083,ctr000001
flm0001084,ctr000001
flm0001085,ctr000001
flm0001086,ctr000001
flm0001087,ctr000001
flm0001088,ctr000001
flm0001089,ctr000001
flm0001090,ctr000001
flm0001092,ctr000001
flm0001093,ctr000001
flm0001095,ctr000001
flm0001096,ctr000001
flm0001098,ctr000001
flm0001099,ctr000001
flm0001100,ctr000001
flm0001101,ctr000001
flm0001103,ctr000001
flm0001104,ctr000001
flm0001105,ctr000001
flm0001106,ctr000001
flm0001108,ctr000001
flm0001109,ctr000001
flm0001110,ctr000001
flm0001111,ctr000001
flm0001112,ctr000001
flm0001113,ctr000001
flm0001114,ctr000001
flm0001115,ctr000001
flm0001116,ctr000001
flm0001117,ctr000001
flm0001118,ctr000001
flm0001120,ctr000001
flm0001121,ctr000001
flm0001122,ctr000001
flm0001123,ctr000001
flm0001125,ctr000001
flm0001126,ctr000001
flm0001127,ctr000001
flm0001130,ctr000001
flm0001131,ctr000001
flm0001132,ctr000001
flm0001133,ctr000001
flm0001134,ctr000001
flm0001136,ctr000001
flm0001137,ctr000001
flm0001138,ctr000001
flm0001139,ctr000001
flm0001140,ctr000001
flm0001141,ctr000001
flm0001142,ctr000001
flm0001144,ctr000001
flm0001145,ctr000001
flm0001146,ctr000001
flm0001150,ctr000001
flm0001151,ctr000001
flm0001152,ctr000001
flm0001153,ctr000001
flm0001154,ctr000001
flm0001155,ctr000001
flm0001156,ctr000001
flm0001157,ctr000001
flm0001158,ctr000001
flm0001159,ctr000001
flm0001160,ctr000001
flm0001162,ctr000001
flm0001163,ctr000001
flm0001164,ctr000001
flm0001166,ctr000001
flm0001167,ctr000001
flm0001168,ctr000001
flm0001169,ctr000001
flm0001170,ctr000001
flm0001171,ctr000001
flm0001173,ctr000001
flm0001174,ctr000001
flm0001175,ctr000001
flm0001176,ctr000001
flm0001177,ctr000001
flm0001178,ctr000001
flm0001180,ctr000001
flm0001181,ctr000001
flm0001182,ctr000001
flm0001183,ctr000001
flm0001184,ctr000001
flm0001185,ctr000001
flm0001186,ctr000001
flm0001187,ctr000001
flm0001189,ctr000001
flm0001191,ctr000001
flm0001192,ctr000001
flm0001193,ctr000001
flm0001194,ctr000001
flm0001196,ctr000001
flm0001197,ctr000001
flm0001198,ctr000001
flm0001199,ctr000001
flm0001200,ctr000001
flm0001202,ctr000001
flm0001203,ctr000001
