title (original),IMDB id,film_id,IMDB_url,Directors,Writers,Actors,Country of origin,Duration (min),Year of Production
Новости сельского хозяйства № 4 1951 г.,,flm0001081,,,,,,,
Le mura di Malapaga,tt0040137,flm0001082,https://www.imdb.com/title/tt0040137/,,,,,,
Советская Удмуртия,,flm0001083,,,,,,,
Академик Зелинский,,flm0001084,,,,,,,
В борьбе за первенство,,flm0001085,,,,,,,
У истоков истины,,flm0001086,,,,,,,
Берегите сердце,,flm0001087,,,,,,,
Остров морского котика,,flm0001088,,,,,,,
Под знаменем мира,,flm0001089,,,,,,,
Марийская АССР,,flm0001090,,,,,,,
Frühling auf dem Eis,tt0042486,flm0001091,https://www.imdb.com/title/tt0042486/,,,,,,
Насекомоядные растения,,flm0001092,,,,,,,
Новости сельского хозяйства № 2 1951 г.,,flm0001093,,,,,,,
Dwie brygady,tt0042424,flm0001094,https://www.imdb.com/title/tt0042424/,,,,,,
Советская Чувашия,,flm0001095,,,,,,,
Щедрое лето,tt0042930,flm0001096,https://www.imdb.com/title/tt0042930/,,,,,,
V trestném území,tt0212582,flm0001097,https://www.imdb.com/title/tt0212582/,,,,,,
Жигули,,flm0001098,,,,,,,
На выставке электропромышленности,,flm0001099,,,,,,,
В степи,tt0328600,flm0001100,https://www.imdb.com/title/tt0328600/,,,,,,
"Киносборник цветных художественных фильмов № 31 ""В степи"" 1951 г.",,flm0001101,,,,,,,
Kis Katalin házassága,tt0042647,flm0001102,https://www.imdb.com/title/tt0042647/,,,,,,
Советский Туркменистан,,flm0001103,,,,,,,
Сказка о рыбаке и рыбке,tt5437470,flm0001104,https://www.imdb.com/title/tt5437470/,,,,,,
Первая сессия всемирного совета мира,,flm0001105,,,,,,,
В гостях в колхозе,,flm0001106,,,,,,,
Janika,tt0041518,flm0001107,https://www.imdb.com/title/tt0041518/,,,,,,
"Цветной киносборник № 28 ""По советской Сибири"" 1951 г.",,flm0001108,,,,,,,
Первая сессия всемирноо совета мира,,flm0001109,,,,,,,
Новости сельского хозяйства № 1 1951 г.,,flm0001110,,,,,,,
Советская Армения,,flm0001111,,,,,,,
В мирные дни,tt0043095,flm0001112,https://www.imdb.com/title/tt0043095/,,,,,,
Советский Азербайджан,tt19296428,flm0001113,https://www.imdb.com/title/tt19296428/,,,,,,
"Цветной киносборник цветных художественных фильмов № 31 ""В степи"" 1951 г.",,flm0001114,,,,,,,
В верховьях Иртыша,,flm0001115,,,,,,,
Зеленые берега,,flm0001116,,,,,,,
Новости дня № 18 1951 г.,,flm0001117,,,,,,,
Советский спорт № 3 1951 г.,,flm0001118,,,,,,,
Pierwszy start,tt0043921,flm0001119,https://www.imdb.com/title/tt0043921/,,,,,,
Волочаевские дни,tt0030949,flm0001120,https://www.imdb.com/title/tt0030949/,,,,,,
Всесоюзное соревнование фигуристов,,flm0001121,,,,,,,
Неделя детской книги,,flm0001122,,,,,,,
Спорт отважных,,flm0001123,,,,,,,
Vstanou noví bojovníci,tt0176303,flm0001124,https://www.imdb.com/title/tt0176303/,,,,,,
Присуждение международных сталинских премий мира,,flm0001125,,,,,,,
Советская Татария,,flm0001126,,,,,,,
Донецкие шахтеры,tt0042407,flm0001127,https://www.imdb.com/title/tt0042407/,,,,,,
Robinson warszawski,tt0042731,flm0001128,https://www.imdb.com/title/tt0042731/,,,,,,
Pokój zwyciezy!,tt0031656,flm0001129,https://www.imdb.com/title/tt0031656/,,,,,,
