film_id,title (original),Year of Production,Duration (min),IMDB id
flm0000353,Битва за нашу советскую Украину,1943,56,tt0035702
flm0000354,Великий гражданин 1 серия,1938,114,tt0029726
flm0000355,Возрождение Сталинграда,1944,45,tt6689830
flm0000356,Новости дня № 6 1947 г.,,,
flm0000357,Советский спорт № 1 1947 г.,,,
flm0000358,Советская Киргизия,,,
flm0000359,Глинка,1946,100,tt0038566
flm0000360,Киносборник научно-популярных фильмов № 1 1947 г.,,,
flm0000361,Советский спорт № 2 1947 г.,,,
flm0000362,Советская Латвия,1947,52,tt19010598
flm0000363,К 29-й годовщине Советской Армии,,,
flm0000364,Крейсер Варяг,1947,92,tt0177893
flm0000365,Новости дня № 10 1947 г.,,,
flm0000366,Новости дня № 11 1947 г.,,,
flm0000367,Новости дня № 12 1947 г.,,,
flm0000368,Весенний поток,1941,75,tt0351946
flm0000369,Танкер «Дербент»,1941,84,tt6680502
flm0000370,Друзья,1939,85,tt0030083
flm0000371,Die Frau meiner Träume,1944,93,tt0036838
flm0000372,Великий всенародный праздник,,,
flm0000373,Во имя жизни,1947,99,tt0039085
flm0000374,Дочь моряка,1941,69,tt0422104
flm0000375,Новости дня №16 - Открытие московской сессии совета Министров иностранных дел 1947 г.,,,
flm0000376,Новости дня №17 - Открытие московской сессии совета Министров иностранных дел 1947 г.,,,
flm0000377,На Волге,,,
flm0000378,Салават Юлаев,1941,72,tt0034147
flm0000379,Славянский конгресс в Белграде,,,
flm0000380,Наука и техника № 81 1947 г.,,,
flm0000381,В глубинах моря,1939,49,tt6684680
flm0000382,Новости дня № 20 1947 г.,,,
flm0000383,Гипноз и внушение,,,
flm0000384,Макар Нечай,1940,76,tt0264826
flm0000385,Наука и техника № 82 1947 г.,,,
flm0000386,Новости дня № 21 1947 г.,,,
flm0000387,Похождения Насреддина,1947,87,tt0039717
flm0000388,Иван Петрович Павлов,,,
flm0000389,Мнимая смерть,,,
flm0000390,Новаторы медицины,,,
flm0000391,Эксперименты по оживлению организмов,1940,20,tt0496948
flm0000392,Экспериментальный сон,,,
flm0000393,Дыхание,,,
flm0000394,Международная демократическая федерация женщин,,,
flm0000395,Новости дня № 22 1947 г.,,,
flm0000396,Наше сердце,1947,82,tt0174964
flm0000397,Наступление на пустыню,,,
flm0000398,Советский спорт № 4 1947 г.,,,
flm0000399,Майская ночь,1938,63,tt0179325
flm0000400,Новости дня № 23 1947 г.,,,
flm0000401,Новости дня № 24 1947 г.,,,
flm0000402,Вулканы,,,
flm0000403,Гром и молния,,,
flm0000404,Землетрясение,,,
flm0000405,Полярное сияние,,,
flm0000406,Советский спорт № 6 1947 г.,,,
flm0000407,Солистка балета,1947,75,tt0039789
flm0000408,Киносборник научно-популярных фильмов № 2 1947 г.,,,
flm0000409,Новости дня № 25 1947 г.,,,
flm0000410,В Париже,,,
flm0000411,Ошибка инженера Кочина,1939,111,tt0175993
flm0000412,Пионерия № 4 1947 г.,,,
flm0000413,Киносборник цветных научно-популярных фильмов № 2 1947 г.,,,
flm0000414,Первое мая 1947 года,,,
flm0000415,Северная Корея,,,
flm0000416,Валерий Чкалов,1941,89,tt0034353
flm0000417,Новости дня № 28 1947 г.,,,
flm0000418,Золушка,1947,80,tt0168269
flm0000419,Новости дня № 30 1947 г.,,,
flm0000420,Румыния,,,
flm0000421,Новости дня № 29 1947 г.,,,
flm0000422,Новости дня № 31 1947 г.,,,
flm0000423,Подкидыш,1927,60,tt0018482
flm0000424,Советский спорт № 5 1947 г.,,,
flm0000425,Muzi bez krídel,1946,79,tt0038760
flm0000426,Из записок врача,,,
flm0000427,"Газопровод ""Саратов-Москва""",,,
flm0000428,Новости дня № 32 1947 г.,,,
flm0000429,Юность поэта,1937,85,tt0129654
flm0000430,105 лошадиных сил,,,
flm0000431,Киносборник научно-популярных фильмов № 3 1947 г.,,,
flm0000432,Курс на север,,,
flm0000433,Новости дня № 33 1947 г.,,,
flm0000434,In Which We Serve,1942,115,tt0034891
flm0000435,Давид-Бек,1944,93,tt0036747
flm0000436,Парень из тайги,1941,82,tt0189945
flm0000437,Пионерия № 5 1947 г.,,,
flm0000438,Пионерия № 6 1947 г.,,,
flm0000439,Новости дня № 34 1947 г.,,,
flm0000440,Новости дня № 35 1947 г.,,,
flm0000441,Спортивный день столицы,,,
flm0000442,Пропавшая грамота,1945,43,tt0239843
flm0000443,Волшебное зерно,1942,87,tt0334652
flm0000444,Гайчи,1938,60,tt1458741
flm0000445,Метеориты,,,
flm0000446,Новости дня № 36 1947 г.,,,
flm0000447,Новости дня № 37 1947 г.,,,
flm0000448,Белеет парус одинокий,1937,92,tt0028674
flm0000449,Сказка о царе Салтане,1943,35,tt6196836
flm0000450,Весна,1947,104,tt0039954
flm0000451,Новости дня № 38 1947 г.,,,
flm0000452,День на Волге,,,
flm0000453,Советский спорт № 7/20 1947 г.,,,
flm0000454,Наука и техника № 77 1947 г.,,,
flm0000455,Новости дня № 39 1947 г.,,,
flm0000456,Новости дня № 40 1947 г.,,,
flm0000457,Минин и Пожарский,1939,110,tt0031654
flm0000458,Die Mörder sind unter uns,1946,85,tt0038769
flm0000459,Конек-Горбунок,1947,57,tt0050604
flm0000460,Город четырех ворот,,,
flm0000461,Жемчужина Кавказа,,,
flm0000462,Новости дня № 47 1947 г.,,,
flm0000463,Новости дня № 41 1947 г.,,,
flm0000464,Пионерия № 7 1947 г.,,,
flm0000465,Советский спорт № 7 1947 г.,,,
flm0000466,Научно-популярные фильмы,,,
flm0000467,Новости дня № 42 1947 г.,,,
flm0000468,Песенка радости,1946,21,tt6052684
flm0000469,Новости дня № 43 1947 г.,,,
flm0000470,Светлый путь,1940,87,tt0033119
flm0000471,Новости дня № 44 1947 г.,,,
flm0000472,Советский спорт № 8 1947 г.,,,
flm0000473,Сокровища Ценского ущелья,1941,60,tt0268709
flm0000474,Гобсек,1937,73,tt0164612
flm0000475,Запорожсталь возрождается,,,
flm0000476,Приятели,1940,,tt0250672
flm0000477,Цветная мультипликационная программа,,,
flm0000478,В мире советского искусства,,,
flm0000479,Новости дня № 45 1947 г.,,,
flm0000480,La bataille du rail,1946,85,tt0038334
flm0000481,Слет юных пионеров Грузии,,,
flm0000482,Интеллигенция колхозного села,,,
flm0000483,Новости дня № 46 1947 г.,,,
flm0000484,История одной линии,,,
flm0000485,Московская вода,,,
flm0000486,Новости дня № 48 1947 г.,,,
flm0000487,Почин Василия Матросова,,,
flm0000488,Памятники истории,,,
flm0000489,Первопечатник Иван Федоров,1941,,tt3882630
flm0000490,Новости дня № 49 1947 г.,,,
flm0000491,Новости дня № 50 1947 г.,,,
flm0000492,Пионерия № 8 1947 г.,,,
flm0000493,Великий русский зодчий Матвей Казаков,,,
flm0000494,Всесоюзный парад физкультурников 1947 г.,1946,,tt0239776
flm0000495,День воздушного флота,,,
flm0000496,Москва - столица СССР,1947,58,tt6693636
